  PID TTY          TIME CMD
 1816 ?        00:00:00 trashapplet
 1818 ?        00:00:00 brisk-menu
 1822 ?        00:00:00 clock-applet
 1830 ?        00:00:00 mate-indicator-
 1833 ?        00:00:00 notification-ar
 1849 ?        00:00:00 indicator-messa
 1851 ?        00:00:00 gvfsd-trash
 1858 ?        00:00:00 mate-maximus
 1872 ?        00:00:00 update-notifier
 1874 ?        00:00:00 deja-dup-monito
 1875 ?        00:00:00 mate-screensave
 1879 ?        00:00:00 blueman-applet
 1881 ?        00:00:00 polkit-mate-aut
 1882 ?        00:00:00 sh
 1889 ?        00:00:00 pxgsettings
 1894 ?        00:00:00 nm-applet
 1897 ?        00:00:00 applet.py
 1903 ?        00:00:00 mate-power-mana
 1908 ?        00:00:00 indicator-sessi
 1919 ?        00:00:00 indicator-sound
 1920 ?        00:00:00 indicator-power
 1937 ?        00:00:00 gvfsd-metadata
 1959 ?        00:00:00 indicator-appli
 1979 ?        00:00:00 gvfs-udisks2-vo
 1992 ?        00:00:00 gvfs-mtp-volume
 1999 ?        00:00:00 gvfs-goa-volume
 2005 ?        00:00:00 gvfs-gphoto2-vo
 2013 ?        00:00:00 gvfs-afc-volume
 2237 ?        00:00:00 obexd
 2308 ?        00:00:01 geany
 2317 pts/0    00:00:00 bash
 2397 ?        00:00:01 pluma
 2407 ?        00:00:00 kworker/2:0-eve
 2414 ?        00:00:00 gvfsd-network
 2445 ?        00:00:00 gvfsd-dnssd
 2473 ?        00:00:00 kworker/3:0-eve
 2474 ?        00:00:00 kworker/3:1-cgr
 2475 ?        00:00:00 kworker/3:4
 2569 ?        00:00:00 mate-terminal
 2576 pts/1    00:00:00 bash
 2587 ?        00:00:00 kworker/1:0-eve
 2592 pts/1    00:00:00 ps
